Judul Berita Kebakaran Halaman 1,Link Berita
"Rumah Kontrakan 26 Pintu Terbakar di Tambora Jakbar, 1 Orang Terluka",https://www.cnnindonesia.com/nasional/20230521003247-20-951961/rumah-kontrakan-26-pintu-terbakar-di-tambora-jakbar-1-orang-terluka
Kebakaran Pabrik Plastik Jakbar Tak Ganggu Penerbangan Bandara Soetta,https://www.cnnindonesia.com/nasional/20230519182630-20-951669/kebakaran-pabrik-plastik-jakbar-tak-ganggu-penerbangan-bandara-soetta
"Pabrik Plastik di Jakbar Kebakaran, 15 Unit Mobil Damkar Diterjunkan",https://www.cnnindonesia.com/nasional/20230519142448-20-951523/pabrik-plastik-di-jakbar-kebakaran-15-unit-mobil-damkar-diterjunkan
Rumah Tahfiz Al Quran di Makassar Kebakaran Gegara Korsleting,https://www.cnnindonesia.com/nasional/20230519025613-20-951311/rumah-tahfiz-al-quran-di-makassar-kebakaran-gegara-korsleting
Kebakaran Landa Lapak Limbah Oli dan Rumah Warga di Tangerang,https://www.cnnindonesia.com/nasional/20230517213015-20-951056/kebakaran-landa-lapak-limbah-oli-dan-rumah-warga-di-tangerang
"Kebakaran Rumah Makan Jasunda BSD, 1 Karyawan Alami Luka Bakar",https://www.cnnindonesia.com/nasional/20230512101855-20-948642/kebakaran-rumah-makan-jasunda-bsd-1-karyawan-alami-luka-bakar
"RSUD Abepura Papua Kebakaran, Tiga Orang Dilaporkan Tewas",https://www.cnnindonesia.com/nasional/20230509164329-20-947337/rsud-abepura-papua-kebakaran-tiga-orang-dilaporkan-tewas
Api Masih Berkobar di Lokasi Kebakaran Pabrik Cat Jakut,https://www.cnnindonesia.com/nasional/20230508205249-20-946929/api-masih-berkobar-di-lokasi-kebakaran-pabrik-cat-jakut
"Kebakaran di Pabrik Peracik Cat di Jakut, 35 Damkar Dikerahkan",https://www.cnnindonesia.com/nasional/20230508183007-20-946880/kebakaran-di-pabrik-peracik-cat-di-jakut-35-damkar-dikerahkan
Kerugian Kebakaran Malang Plaza Diperkirakan Capai Rp56 Miliar,https://www.cnnindonesia.com/nasional/20230503193111-20-944926/kerugian-kebakaran-malang-plaza-diperkirakan-capai-rp56-miliar
"Gudang Makanan di Makassar Terbakar, Diduga Arus Pendek",https://www.cnnindonesia.com/nasional/20230503002112-20-944502/gudang-makanan-di-makassar-terbakar-diduga-arus-pendek
Polisi Selidiki Sumber Api Kebakaran Gedung Malang Plaza,https://www.cnnindonesia.com/nasional/20230502232050-20-944499/polisi-selidiki-sumber-api-kebakaran-gedung-malang-plaza
"Asrama Polisi di Manado Kebakaran, Tidak Ada Korban Jiwa",https://www.cnnindonesia.com/nasional/20230502191651-20-944461/asrama-polisi-di-manado-kebakaran-tidak-ada-korban-jiwa
"Malang Plaza Terbakar, 15 Unit Mobil Damkar Diterjunkan",https://www.cnnindonesia.com/nasional/20230502085616-12-944106/malang-plaza-terbakar-15-unit-mobil-damkar-diterjunkan
VIDEO: Detik-detik Kebakaran di Pusat Migran Meksiko Tewaskan 40 Orang,https://www.cnnindonesia.com/internasional/20230428143236-139-943097/video-detik-detik-kebakaran-di-pusat-migran-meksiko-tewaskan-40-orang
Tiga Hari Semburan Api di Rest Area Tol Cipali Masih Berkobar,https://www.cnnindonesia.com/nasional/20230428135404-20-943074/tiga-hari-semburan-api-di-rest-area-tol-cipali-masih-berkobar
"VIDEO: Semburan Api Rest Area Tol Cipali Belum Padam, Pedagang Merugi",https://www.cnnindonesia.com/tv/20230428130112-400-943020/video-semburan-api-rest-area-tol-cipali-belum-padam-pedagang-merugi
"Viral Video Kebakaran di Jakut, Damkar DKI Jakarta Tegaskan Hoaks",https://www.cnnindonesia.com/nasional/20230427193240-20-942816/viral-video-kebakaran-di-jakut-damkar-dki-jakarta-tegaskan-hoaks
"Api di Rest Area KM 86 Cipali Masih Berkobar, Pemadaman Belum Selesai",https://www.cnnindonesia.com/nasional/20230427130633-20-942606/api-di-rest-area-km-86-cipali-masih-berkobar-pemadaman-belum-selesai
"Kebakaran Hebat di Kampung Coklat Blitar, Tak Ada Korban Jiwa",https://www.cnnindonesia.com/nasional/20230426115314-20-942185/kebakaran-hebat-di-kampung-coklat-blitar-tak-ada-korban-jiwa
FOTO: Permukiman Padat Penduduk di Jakarta Utara Dilalap Si Jago Merah,https://www.cnnindonesia.com/nasional/20230425162427-22-941901/foto-permukiman-padat-penduduk-di-jakarta-utara-dilalap-si-jago-merah
"Kebakaran di Jakut Hanguskan Puluhan Rumah, Diduga Korsleting Listrik",https://www.cnnindonesia.com/nasional/20230425161935-20-941899/kebakaran-di-jakut-hanguskan-puluhan-rumah-diduga-korsleting-listrik
"TSM Makassar Kebakaran, Api Sudah Berhasil Dipadamkan",https://www.cnnindonesia.com/nasional/20230424195809-20-941640/tsm-makassar-kebakaran-api-sudah-berhasil-dipadamkan
Kebakaran Lahap Ruko Tiga Lantai di Pasar Sentral Makassar,https://www.cnnindonesia.com/nasional/20230423193618-20-941263/kebakaran-lahap-ruko-tiga-lantai-di-pasar-sentral-makassar
"Pilu Muara Angke Dilahap Api Kala Syahdu Takbir, Hingga Lupa Lebaran",https://www.cnnindonesia.com/nasional/20230423110100-20-941127/pilu-muara-angke-dilahap-api-kala-syahdu-takbir-hingga-lupa-lebaran
"VIDEO: Restoran di Madrid Terbakar, 10 Luka dan 2 Tewas",https://www.cnnindonesia.com/internasional/20230423073014-139-941077/video-restoran-di-madrid-terbakar-10-luka-dan-2-tewas
"Fakta-fakta Kebakaran di Muara Angke, Isu Korsleting Hingga Nol Korban",https://www.cnnindonesia.com/nasional/20230422205108-20-941036/fakta-fakta-kebakaran-di-muara-angke-isu-korsleting-hingga-nol-korban
"2 Orang Tewas akibat Kebakaran di Restoran Spanyol, 10 Luka-luka",https://www.cnnindonesia.com/internasional/20230423014541-134-941049/2-orang-tewas-akibat-kebakaran-di-restoran-spanyol-10-luka-luka
"219 Rumah Terbakar di Muara Angke, Petugas Sebut Nihil Korban Jiwa",https://www.cnnindonesia.com/nasional/20230422182429-20-941009/219-rumah-terbakar-di-muara-angke-petugas-sebut-nihil-korban-jiwa
"219 Rumah Terbakar di Muara Angke, Ratusan Warga Mengungsi Sementara",https://www.cnnindonesia.com/nasional/20230422174638-20-941001/219-rumah-terbakar-di-muara-angke-ratusan-warga-mengungsi-sementara
"Kebakaran Muara Angke, 162 Warga Dievakuasi",https://www.cnnindonesia.com/nasional/20230422181112-20-941005/kebakaran-muara-angke-162-warga-dievakuasi
FOTO: Si Jago Merah Lahap Ratusan Rumah di Muara Angke Saat Lebaran,https://www.cnnindonesia.com/nasional/20230422145806-22-940942/foto-si-jago-merah-lahap-ratusan-rumah-di-muara-angke-saat-lebaran
VIDEO: Situasi Terkini Ratusan Rumah Muara Angke Usai Terbakar,https://www.cnnindonesia.com/nasional/20230422144619-24-940938/video-situasi-terkini-ratusan-rumah-muara-angke-usai-terbakar
"Kebakaran Hanguskan 290 Rumah di Muara Angke, Diduga dari Korsleting",https://www.cnnindonesia.com/nasional/20230422120940-20-940887/kebakaran-hanguskan-290-rumah-di-muara-angke-diduga-dari-korsleting
7 Rumah di Surabaya Terbakar di Malam Takbiran,https://www.cnnindonesia.com/nasional/20230421205151-20-940763/7-rumah-di-surabaya-terbakar-di-malam-takbiran
Kebakaran di Senayan City Disebut Berasal dari Kabel Listrik,https://www.cnnindonesia.com/nasional/20230420214441-20-940378/kebakaran-di-senayan-city-disebut-berasal-dari-kabel-listrik
Kesaksian Pengunjung Senayan City: Asap Ngebul dari Restoran di LG,https://www.cnnindonesia.com/nasional/20230420201315-20-940370/kesaksian-pengunjung-senayan-city-asap-ngebul-dari-restoran-di-lg
VIDEO: Momen Evakuasi Pengunjung saat Kebakaran di Senayan City,https://www.cnnindonesia.com/nasional/20230420194025-24-940355/video-momen-evakuasi-pengunjung-saat-kebakaran-di-senayan-city
"Kebakaran Senayan City, Pengunjung Berlarian ke Tangga Darurat",https://www.cnnindonesia.com/nasional/20230420192709-20-940351/kebakaran-senayan-city-pengunjung-berlarian-ke-tangga-darurat
"Senayan City Kebakaran, Pengunjung Mal Dievakuasi",https://www.cnnindonesia.com/nasional/20230420190751-20-940346/senayan-city-kebakaran-pengunjung-mal-dievakuasi
"Korban Tewas Kebakaran RS Beijing Jadi 29 Orang, Sebagian Besar Lansia",https://www.cnnindonesia.com/internasional/20230419154914-113-939862/korban-tewas-kebakaran-rs-beijing-jadi-29-orang-sebagian-besar-lansia
16 Unit Damkar Padamkan Kebakaran KM Samudra Anugrah di Surabaya,https://www.cnnindonesia.com/nasional/20230419133743-20-939789/16-unit-damkar-padamkan-kebakaran-km-samudra-anugrah-di-surabaya
"Kebakaran di Rumah Sakit Beijing China, 21 Orang Tewas",https://www.cnnindonesia.com/internasional/20230418204537-113-939562/kebakaran-di-rumah-sakit-beijing-china-21-orang-tewas
"Kebakaran Satu Rumah di Medan, 6 Orang Meninggal Dunia",https://www.cnnindonesia.com/nasional/20230418105048-20-939173/kebakaran-satu-rumah-di-medan-6-orang-meninggal-dunia
"VIDEO: Rumah Tingkat Terbakar, 12 Mobil Damkar Diterjunkan",https://www.cnnindonesia.com/tv/20230412171302-407-936902/video-rumah-tingkat-terbakar-12-mobil-damkar-diterjunkan
