Judul Berita,Link Berita,Link Image
"Jangan Disepelekan, Penyakit Kutil Kelamin Bisa Jadi Kanker Serviks",https://www.cnnindonesia.com/gaya-hidup/20230523163731-255-953046/jangan-disepelekan-penyakit-kutil-kelamin-bisa-jadi-kanker-serviks,https://akcdn.detik.net.id/visual/2017/04/18/21bf0c04-ec18-4569-b99b-84a23e2054ba_169.jpg?w=500&q=90
Dugaan KDRT Bukhori Yusuf: Pukul hingga Injak Istri Saat Hamil,https://www.cnnindonesia.com/nasional/20230524061848-12-953211/dugaan-kdrt-bukhori-yusuf-pukul-hingga-injak-istri-saat-hamil,https://akcdn.detik.net.id/visual/2023/01/09/ilustrasi-kekerasan-terhadap-anak-5_169.jpeg?w=500&q=90
Ahli Bongkar Penyebab Nyamuk Terus Incar Manusia,https://www.cnnindonesia.com/teknologi/20230523144814-199-952973/ahli-bongkar-penyebab-nyamuk-terus-incar-manusia,https://akcdn.detik.net.id/visual/2015/05/11/bda0cbfb-2455-42e2-b7eb-0feaf0094fb9_169.jpg?w=500&q=90
Cek 8 Bagian Mobil Kala Serangan Suhu Panas,https://www.cnnindonesia.com/otomotif/20230524064744-592-953214/cek-8-bagian-mobil-kala-serangan-suhu-panas,https://akcdn.detik.net.id/visual/2020/09/09/rencana-kenaikan-pajak-parkir-sebesar-30-persen-9_169.jpeg?w=500&q=90
"Waspada di Toilet Umum, Bisa Tertular Penyakit Kutil Kelamin",https://www.cnnindonesia.com/gaya-hidup/20230523180515-255-953088/waspada-di-toilet-umum-bisa-tertular-penyakit-kutil-kelamin,https://akcdn.detik.net.id/visual/2020/07/22/ilustrasi-buang-air-kecil_169.jpeg?w=500&q=90
Vonis Ferry Irawan Lebih Ringan dari Tuntutan Jaksa,https://www.cnnindonesia.com/nasional/20230524063956-12-953213/vonis-ferry-irawan-lebih-ringan-dari-tuntutan-jaksa,https://akcdn.detik.net.id/visual/2023/04/03/pemeriksaan-saksi-sidang-ferry-irawan-1_169.jpeg?w=500&q=90
"7 Film Korea Netflix Rating Tertinggi di IMDb, Ada 20th Century Girl",https://www.cnnindonesia.com/hiburan/20230517163705-225-950920/7-film-korea-netflix-rating-tertinggi-di-imdb-ada-20th-century-girl,https://akcdn.detik.net.id/visual/2022/10/25/film-korea-20th-century-girl-2022_169.jpeg?w=500&q=90
"Vaksin HPV Diberikan Gratis, Kapan Waktu Pemberian yang Tepat?",https://www.cnnindonesia.com/gaya-hidup/20230523201543-255-953146/vaksin-hpv-diberikan-gratis-kapan-waktu-pemberian-yang-tepat,https://akcdn.detik.net.id/visual/2022/04/20/ilustrasi-vaksin-hpv_169.jpeg?w=500&q=90
Pemkot Depok Temukan Sapi dengan Penyakit LSD,https://www.cnnindonesia.com/nasional/20230523193307-20-953135/pemkot-depok-temukan-sapi-dengan-penyakit-lsd,https://akcdn.detik.net.id/visual/2022/06/30/disinfeksi-nasional-cegah-pmk-2_169.jpeg?w=500&q=90
Ferry Irawan Divonis 1 Tahun Penjara di Kasus KDRT Venna Melinda,https://www.cnnindonesia.com/nasional/20230523151906-12-952990/ferry-irawan-divonis-1-tahun-penjara-di-kasus-kdrt-venna-melinda,https://akcdn.detik.net.id/visual/2023/04/03/pemeriksaan-saksi-sidang-ferry-irawan_169.jpeg?w=500&q=90
